"CpG","Beta","SE","P","FDR","Trait","threshold"
"cg04701628",0.0051,8e-04,8e-10,2.8e-07,"smoking","F001"
"cg03958308",-0.0171,0.0028,8e-10,2.8e-07,"smoking","F001"
"cg01300096",-0.0074,0.0012,8e-10,2.8e-07,"smoking","F001"
"cg20468883",-0.0076,0.0012,8.1e-10,2.9e-07,"smoking","F001"
"cg18335991",-0.0135,0.0022,8.1e-10,2.9e-07,"smoking","F001"
"cg08022502",-0.0068,0.0011,8.2e-10,2.9e-07,"smoking","F001"
"cg06235438",-0.0144,0.0023,8.4e-10,2.9e-07,"smoking","F001"
"cg01207684",-0.0246,0.004,8.4e-10,2.9e-07,"smoking","F001"
"cg18028767",0.0069,0.0011,8.5e-10,3e-07,"smoking","F001"
"cg00324097",-0.0121,0.002,8.6e-10,3e-07,"smoking","F001"
"cg22014430",-0.0052,8e-04,8.7e-10,3e-07,"smoking","F001"
"cg17975379",0.005,8e-04,8.7e-10,3.1e-07,"smoking","F001"
"cg12336777",0.0068,0.0011,8.8e-10,3.1e-07,"smoking","F001"
"cg22069247",0.0087,0.0014,8.8e-10,3.1e-07,"smoking","F001"
"cg03446062",0.0073,0.0012,9.1e-10,3.2e-07,"smoking","F001"
"cg10908953",-0.0061,0.001,9.3e-10,3.3e-07,"smoking","F001"
"cg16702313",-0.0081,0.0013,9.5e-10,3.3e-07,"smoking","F001"
"cg03234777",-0.0132,0.0022,9.5e-10,3.3e-07,"smoking","F001"
"cg16340422",0.0182,0.003,9.6e-10,3.3e-07,"smoking","F001"
"cg07986378",-0.029,0.0047,9.6e-10,3.3e-07,"smoking","F001"
"cg09825327",-0.005,8e-04,9.7e-10,3.4e-07,"smoking","F001"
"cg03970900",0.0133,0.0022,9.7e-10,3.4e-07,"smoking","F001"
"cg15777760",-0.0115,0.0019,9.9e-10,3.4e-07,"smoking","F001"
"cg04163119",-0.0043,7e-04,9.9e-10,3.4e-07,"smoking","F001"
"cg26703507",-0.0202,0.0033,9.9e-10,3.4e-07,"smoking","F001"
"cg27633342",0.0067,0.0011,1e-09,3.5e-07,"smoking","F001"
"cg23387863",0.0086,0.0014,1e-09,3.5e-07,"smoking","F001"
"cg06483559",-0.006,0.001,1e-09,3.5e-07,"smoking","F001"
"cg03707168",-0.0285,0.0047,1e-09,3.5e-07,"smoking","F001"
"cg18828619",-0.0066,0.0011,1e-09,3.5e-07,"smoking","F001"
"cg11344533",-0.0098,0.0016,1e-09,3.5e-07,"smoking","F001"
"cg26995224",-0.0212,0.0035,1e-09,3.5e-07,"smoking","F001"
"cg09084391",-0.0114,0.0019,1e-09,3.6e-07,"smoking","F001"
"cg11824827",0.0132,0.0022,1e-09,3.6e-07,"smoking","F001"
"cg09762515",0.0154,0.0025,1e-09,3.6e-07,"smoking","F001"
"cg05047401",0.0118,0.0019,1.1e-09,3.6e-07,"smoking","F001"
"cg21268659",0.0051,8e-04,1.1e-09,3.6e-07,"smoking","F001"
"cg06214925",-0.0059,0.001,1.1e-09,3.6e-07,"smoking","F001"
"cg03340878",-0.0204,0.0033,1.1e-09,3.6e-07,"smoking","F001"
"cg17422460",-0.012,0.002,1.1e-09,3.6e-07,"smoking","F001"
"cg07471614",-0.0079,0.0013,1.1e-09,3.6e-07,"smoking","F001"
"cg24105081",-0.0138,0.0023,1.1e-09,3.6e-07,"smoking","F001"
"cg19197419",-0.0133,0.0022,1.1e-09,3.6e-07,"smoking","F001"
"cg03466562",-0.0046,8e-04,1.1e-09,3.7e-07,"smoking","F001"
"cg04481603",-0.0067,0.0011,1.1e-09,3.7e-07,"smoking","F001"
"cg22160883",-0.0062,0.001,1.1e-09,3.7e-07,"smoking","F001"
"cg02032558",-0.0127,0.0021,1.1e-09,3.7e-07,"smoking","F001"
"cg25011395",-0.0045,7e-04,1.1e-09,3.7e-07,"smoking","F001"
"cg20853880",-0.0112,0.0018,1.1e-09,3.7e-07,"smoking","F001"
"cg18262201",-0.012,0.002,1.1e-09,3.7e-07,"smoking","F001"
"cg05099952",-0.0064,0.0011,1.1e-09,3.8e-07,"smoking","F001"
"cg20059377",-0.008,0.0013,1.1e-09,3.8e-07,"smoking","F001"
"cg09350536",-0.0076,0.0012,1.1e-09,3.8e-07,"smoking","F001"
"cg03519967",0.0098,0.0016,1.2e-09,3.9e-07,"smoking","F001"
"cg06738169",-0.0074,0.0012,1.2e-09,3.9e-07,"smoking","F001"
"cg17900199",-0.0067,0.0011,1.2e-09,3.9e-07,"smoking","F001"
"cg05051464",-0.0046,8e-04,1.2e-09,3.9e-07,"smoking","F001"
"cg18824446",-0.0101,0.0017,1.2e-09,4e-07,"smoking","F001"
"cg00953154",-0.0027,4e-04,1.2e-09,4e-07,"smoking","F001"
"cg08243524",-0.0136,0.0022,1.2e-09,4e-07,"smoking","F001"
"cg01601926",-0.0048,8e-04,1.2e-09,4.1e-07,"smoking","F001"
"cg07123182",-0.0111,0.0018,1.2e-09,4.1e-07,"smoking","F001"
"cg15059065",-0.016,0.0026,1.2e-09,4.1e-07,"smoking","F001"
"cg05058354",-0.007,0.0012,1.2e-09,4.1e-07,"smoking","F001"
"cg22705959",-0.0094,0.0016,1.2e-09,4.1e-07,"smoking","F001"
"cg16353615",0.0083,0.0014,1.2e-09,4.1e-07,"smoking","F001"
"cg11940960",-0.0086,0.0014,1.2e-09,4.1e-07,"smoking","F001"
"cg25221975",0.0101,0.0017,1.3e-09,4.2e-07,"smoking","F001"
"cg11601297",-0.0077,0.0013,1.3e-09,4.2e-07,"smoking","F001"
"cg17207590",0.0096,0.0016,1.3e-09,4.2e-07,"smoking","F001"
"cg05138138",-0.0046,8e-04,1.3e-09,4.2e-07,"smoking","F001"
"cg04545963",-0.0128,0.0021,1.3e-09,4.2e-07,"smoking","F001"
"cg24847230",-0.0045,7e-04,1.3e-09,4.3e-07,"smoking","F001"
"cg13541527",-0.024,0.004,1.3e-09,4.3e-07,"smoking","F001"
"cg01465596",0.0109,0.0018,1.3e-09,4.3e-07,"smoking","F001"
"cg04907244",-0.0129,0.0021,1.3e-09,4.3e-07,"smoking","F001"
"cg16037981",0.0048,8e-04,1.3e-09,4.3e-07,"smoking","F001"
"cg18394567",-0.0071,0.0012,1.3e-09,4.3e-07,"smoking","F001"
"cg05460226",-0.0209,0.0034,1.3e-09,4.4e-07,"smoking","F001"
"cg16903811",-0.0094,0.0016,1.3e-09,4.4e-07,"smoking","F001"
"cg17933936",-0.0054,9e-04,1.4e-09,4.5e-07,"smoking","F001"
"cg09588020",-0.0079,0.0013,1.4e-09,4.5e-07,"smoking","F001"
"cg25962015",-0.0136,0.0022,1.4e-09,4.5e-07,"smoking","F001"
"cg14880079",0.0053,9e-04,1.4e-09,4.5e-07,"smoking","F001"
"cg20563269",-0.017,0.0028,1.4e-09,4.6e-07,"smoking","F001"
"cg02646073",0.0058,0.001,1.4e-09,4.7e-07,"smoking","F001"
"cg02871659",-0.0144,0.0024,1.4e-09,4.7e-07,"smoking","F001"
"cg03373393",-0.0078,0.0013,1.5e-09,4.8e-07,"smoking","F001"
"cg24931658",-0.0142,0.0023,1.5e-09,4.8e-07,"smoking","F001"
"cg25205699",0.0041,7e-04,1.5e-09,4.8e-07,"smoking","F001"
"cg12459502",0.0074,0.0012,1.5e-09,4.9e-07,"smoking","F001"
"cg21681705",0.0116,0.0019,1.5e-09,5e-07,"smoking","F001"
"cg15636519",-0.0123,0.002,1.5e-09,5e-07,"smoking","F001"
"cg02187196",-0.0088,0.0014,1.5e-09,5e-07,"smoking","F001"
"cg17065712",-0.0062,0.001,1.5e-09,5e-07,"smoking","F001"
"cg04761746",-0.0085,0.0014,1.6e-09,5e-07,"smoking","F001"
"cg04685387",-0.0134,0.0022,1.6e-09,5.1e-07,"smoking","F001"
"cg16651552",0.0075,0.0012,1.6e-09,5.1e-07,"smoking","F001"
"cg11527913",-0.0067,0.0011,1.6e-09,5.1e-07,"smoking","F001"
"cg22035959",-0.0057,0.001,1.6e-09,5.1e-07,"smoking","F001"
"cg01715384",0.0053,9e-04,1.6e-09,5.1e-07,"smoking","F001"
"cg23290456",-0.0027,4e-04,1.6e-09,5.1e-07,"smoking","F001"
"cg19641804",-0.0088,0.0015,1.6e-09,5.2e-07,"smoking","F001"
"cg05526498",0.0051,8e-04,1.6e-09,5.3e-07,"smoking","F001"
"cg07743805",0.0056,9e-04,1.6e-09,5.3e-07,"smoking","F001"
"cg02629070",0.0073,0.0012,1.6e-09,5.3e-07,"smoking","F001"
"cg14179389",-0.0237,0.0039,1.7e-09,5.3e-07,"smoking","F001"
"cg22928954",-0.0104,0.0017,1.7e-09,5.3e-07,"smoking","F001"
"cg23615741",-0.0204,0.0034,1.7e-09,5.4e-07,"smoking","F001"
"cg10858677",-0.0151,0.0025,1.7e-09,5.4e-07,"smoking","F001"
"cg01882991",-0.0151,0.0025,1.7e-09,5.4e-07,"smoking","F001"
"cg08766770",0.0056,9e-04,1.7e-09,5.4e-07,"smoking","F001"
"cg07873128",0.0043,7e-04,1.7e-09,5.4e-07,"smoking","F001"
"cg03127898",0.0068,0.0011,1.7e-09,5.5e-07,"smoking","F001"
"cg13652493",-0.0027,4e-04,1.7e-09,5.5e-07,"smoking","F001"
"cg20438687",-0.0125,0.0021,1.7e-09,5.5e-07,"smoking","F001"
"cg11550064",0.0063,0.001,1.7e-09,5.5e-07,"smoking","F001"
"cg00540464",-0.0052,9e-04,1.7e-09,5.5e-07,"smoking","F001"
"cg24711224",-0.0059,0.001,1.7e-09,5.6e-07,"smoking","F001"
"cg10993442",-0.0053,9e-04,1.8e-09,5.6e-07,"smoking","F001"
"cg02507296",-0.0061,0.001,1.8e-09,5.7e-07,"smoking","F001"
"cg19618279",-0.0057,0.001,1.8e-09,5.7e-07,"smoking","F001"
"cg04276669",0.0045,7e-04,1.8e-09,5.7e-07,"smoking","F001"
"cg03884592",0.0264,0.0044,1.8e-09,5.8e-07,"smoking","F001"
"cg04411044",-0.014,0.0023,1.8e-09,5.8e-07,"smoking","F001"
"cg21834204",0.0074,0.0012,1.8e-09,5.8e-07,"smoking","F001"
"cg04813697",-0.0177,0.0029,1.8e-09,5.8e-07,"smoking","F001"
"cg16767506",0.0068,0.0011,1.8e-09,5.9e-07,"smoking","F001"
"cg24908166",-0.0085,0.0014,1.9e-09,5.9e-07,"smoking","F001"
"cg05396397",0.0164,0.0027,1.9e-09,5.9e-07,"smoking","F001"
"cg17560073",0.0091,0.0015,1.9e-09,5.9e-07,"smoking","F001"
"cg06361405",0.0028,5e-04,1.9e-09,5.9e-07,"smoking","F001"
"cg22678092",-0.0088,0.0015,1.9e-09,6e-07,"smoking","F001"
"cg19211915",0.007,0.0012,1.9e-09,6e-07,"smoking","F001"
"cg07044859",-0.0179,0.003,1.9e-09,6e-07,"smoking","F001"
"cg20892260",0.0047,8e-04,1.9e-09,6e-07,"smoking","F001"
"cg27618939",0.0074,0.0012,1.9e-09,6e-07,"smoking","F001"
"cg08867399",-0.0178,0.003,1.9e-09,6e-07,"smoking","F001"
"cg05534710",0.003,5e-04,1.9e-09,6e-07,"smoking","F001"
"cg24142464",-0.007,0.0012,1.9e-09,6.1e-07,"smoking","F001"
"cg14010720",-0.0086,0.0014,2e-09,6.2e-07,"smoking","F001"
"cg09635954",-0.0163,0.0027,2e-09,6.2e-07,"smoking","F001"
"cg27628849",0.0057,0.001,2e-09,6.4e-07,"smoking","F001"
"cg27310486",0.0045,7e-04,2.1e-09,6.5e-07,"smoking","F001"
"cg17298925",0.0156,0.0026,2.1e-09,6.5e-07,"smoking","F001"
"cg14741228",-0.0086,0.0014,2.1e-09,6.6e-07,"smoking","F001"
"cg18991417",0.0123,0.0021,2.1e-09,6.6e-07,"smoking","F001"
"cg06433467",-0.0096,0.0016,2.1e-09,6.7e-07,"smoking","F001"
"cg12298445",-0.0053,9e-04,2.1e-09,6.7e-07,"smoking","F001"
"cg27006914",-0.0068,0.0011,2.2e-09,6.8e-07,"smoking","F001"
"cg19300307",-0.0048,8e-04,2.2e-09,6.8e-07,"smoking","F001"
"cg27560367",-0.0056,9e-04,2.2e-09,6.8e-07,"smoking","F001"
"cg09977376",0.0035,6e-04,2.2e-09,6.9e-07,"smoking","F001"
"cg22858500",-0.0152,0.0025,2.2e-09,7e-07,"smoking","F001"
"cg21587837",-0.0067,0.0011,2.2e-09,7e-07,"smoking","F001"
"cg05093686",-0.0048,8e-04,2.3e-09,7e-07,"smoking","F001"
"cg19030554",-0.0141,0.0024,2.3e-09,7e-07,"smoking","F001"
"cg16219322",-0.008,0.0013,2.3e-09,7.1e-07,"smoking","F001"
"cg06478823",0.0077,0.0013,2.3e-09,7.1e-07,"smoking","F001"
"cg11152384",-0.0094,0.0016,2.3e-09,7.1e-07,"smoking","F001"
"cg13633560",-0.0153,0.0026,2.3e-09,7.2e-07,"smoking","F001"
"cg11599718",0.0051,9e-04,2.4e-09,7.3e-07,"smoking","F001"
"cg14687145",0.0066,0.0011,2.4e-09,7.3e-07,"smoking","F001"
"cg21334048",-0.0062,0.001,2.4e-09,7.3e-07,"smoking","F001"
"cg20272648",-0.0047,8e-04,2.4e-09,7.3e-07,"smoking","F001"
"cg26585644",-0.0058,0.001,2.4e-09,7.3e-07,"smoking","F001"
"cg09611599",0.0222,0.0037,2.4e-09,7.4e-07,"smoking","F001"
"cg11270278",-0.0071,0.0012,2.4e-09,7.5e-07,"smoking","F001"
"cg00981651",0.0034,6e-04,2.5e-09,7.6e-07,"smoking","F001"
"cg06638433",-0.005,8e-04,2.5e-09,7.6e-07,"smoking","F001"
"cg03864215",-0.006,0.001,2.5e-09,7.7e-07,"smoking","F001"
"cg17823346",-0.0128,0.0021,2.5e-09,7.7e-07,"smoking","F001"
"cg17551891",-0.0214,0.0036,2.5e-09,7.7e-07,"smoking","F001"
"cg00198594",0.0038,6e-04,2.6e-09,7.9e-07,"smoking","F001"
"cg03833097",-0.0061,0.001,2.6e-09,7.9e-07,"smoking","F001"
"cg06599169",-0.0103,0.0017,2.6e-09,8e-07,"smoking","F001"
"cg27488095",-0.0043,7e-04,2.7e-09,8.1e-07,"smoking","F001"
"cg18676273",-0.012,0.002,2.7e-09,8.2e-07,"smoking","F001"
"cg12494529",-0.0072,0.0012,2.7e-09,8.3e-07,"smoking","F001"
"cg19555708",-0.0087,0.0015,2.7e-09,8.3e-07,"smoking","F001"
"cg00759807",-0.0065,0.0011,2.7e-09,8.3e-07,"smoking","F001"
"cg07278634",0.0084,0.0014,2.8e-09,8.4e-07,"smoking","F001"
"cg14023239",0.0026,4e-04,2.8e-09,8.5e-07,"smoking","F001"
"cg18651578",0.0051,9e-04,2.8e-09,8.5e-07,"smoking","F001"
"cg07504763",-0.0066,0.0011,2.8e-09,8.5e-07,"smoking","F001"
"cg13782301",0.0128,0.0022,2.8e-09,8.5e-07,"smoking","F001"
"cg13642872",-0.0108,0.0018,2.8e-09,8.5e-07,"smoking","F001"
"cg02373104",0.0046,8e-04,2.8e-09,8.6e-07,"smoking","F001"
"cg26070757",0.0051,9e-04,2.9e-09,8.6e-07,"smoking","F001"
"cg08256536",-0.0071,0.0012,2.9e-09,8.7e-07,"smoking","F001"
"cg05487507",-0.012,0.002,2.9e-09,8.8e-07,"smoking","F001"
"cg21691065",0.0055,9e-04,2.9e-09,8.8e-07,"smoking","F001"
"cg26900995",-0.0097,0.0016,2.9e-09,8.9e-07,"smoking","F001"
"cg09651136",0.0077,0.0013,3e-09,8.9e-07,"smoking","F001"
"cg25649826",-0.0053,9e-04,3e-09,9.1e-07,"smoking","F001"
"cg13464337",-0.0083,0.0014,3e-09,9.1e-07,"smoking","F001"
"cg21756476",0.0172,0.0029,3.1e-09,9.2e-07,"smoking","F001"
"cg22849665",-0.0141,0.0024,3.1e-09,9.2e-07,"smoking","F001"
"cg13545717",0.0061,0.001,3.1e-09,9.2e-07,"smoking","F001"
"cg04134748",0.0138,0.0023,3.1e-09,9.2e-07,"smoking","F001"
"cg16755833",0.0056,0.001,3.2e-09,9.6e-07,"smoking","F001"
"cg23720331",0.0025,4e-04,3.2e-09,9.6e-07,"smoking","F001"
"cg05485379",-0.0022,4e-04,3.3e-09,9.7e-07,"smoking","F001"
"cg10629249",-0.0062,0.001,3.3e-09,9.7e-07,"smoking","F001"
"cg25537245",-0.0057,0.001,3.3e-09,9.9e-07,"smoking","F001"
"cg11095027",0.0124,0.0021,3.4e-09,1e-06,"smoking","F001"
"cg01782024",0.006,0.001,3.4e-09,1e-06,"smoking","F001"
"cg06700877",-0.0088,0.0015,3.4e-09,1e-06,"smoking","F001"
"cg13834112",0.0131,0.0022,3.5e-09,1e-06,"smoking","F001"
"cg25923345",-0.0032,5e-04,3.5e-09,1e-06,"smoking","F001"
"cg05946118",-0.0044,7e-04,3.5e-09,1e-06,"smoking","F001"
"cg20533899",-0.0081,0.0014,3.5e-09,1e-06,"smoking","F001"
"cg06866033",-0.0101,0.0017,3.6e-09,1.1e-06,"smoking","F001"
"cg15074033",0.0069,0.0012,3.6e-09,1.1e-06,"smoking","F001"
"cg25064552",-0.0079,0.0013,3.6e-09,1.1e-06,"smoking","F001"
"cg17323704",-0.0019,3e-04,3.6e-09,1.1e-06,"smoking","F001"
"cg06599908",0.0117,0.002,3.7e-09,1.1e-06,"smoking","F001"
"cg07996785",0.0029,5e-04,3.7e-09,1.1e-06,"smoking","F001"
"cg06577850",-0.0115,0.002,3.7e-09,1.1e-06,"smoking","F001"
"cg05660670",0.0033,6e-04,3.7e-09,1.1e-06,"smoking","F001"
"cg10359157",-0.0087,0.0015,3.7e-09,1.1e-06,"smoking","F001"
"cg13787850",-0.0187,0.0032,3.8e-09,1.1e-06,"smoking","F001"
"cg06648759",0.0125,0.0021,3.8e-09,1.1e-06,"smoking","F001"
"cg08239426",0.0057,0.001,3.8e-09,1.1e-06,"smoking","F001"
"cg21067023",-0.0163,0.0028,3.8e-09,1.1e-06,"smoking","F001"
"cg13795986",-0.012,0.002,3.9e-09,1.1e-06,"smoking","F001"
"cg14021478",-0.0087,0.0015,3.9e-09,1.1e-06,"smoking","F001"
"cg06762457",-0.0192,0.0033,3.9e-09,1.1e-06,"smoking","F001"
"cg20309891",-0.007,0.0012,4e-09,1.2e-06,"smoking","F001"
"cg15935121",0.0068,0.0012,4e-09,1.2e-06,"smoking","F001"
"cg19022697",-0.0176,0.003,4e-09,1.2e-06,"smoking","F001"
"cg25818583",-0.015,0.0025,4e-09,1.2e-06,"smoking","F001"
"cg06795233",0.0119,0.002,4e-09,1.2e-06,"smoking","F001"
"cg04221461",0.0127,0.0022,4e-09,1.2e-06,"smoking","F001"
"cg00116430",-0.0197,0.0034,4.1e-09,1.2e-06,"smoking","F001"
"cg18806997",-0.0093,0.0016,4.1e-09,1.2e-06,"smoking","F001"
"cg08361238",-0.0059,0.001,4.1e-09,1.2e-06,"smoking","F001"
"cg00326958",-0.0101,0.0017,4.1e-09,1.2e-06,"smoking","F001"
"cg07556018",0.0119,0.002,4.1e-09,1.2e-06,"smoking","F001"
"cg06649191",0.0033,6e-04,4.2e-09,1.2e-06,"smoking","F001"
"cg27443779",-0.004,7e-04,4.2e-09,1.2e-06,"smoking","F001"
"cg16237191",0.0117,0.002,4.2e-09,1.2e-06,"smoking","F001"
"cg27430293",0.0158,0.0027,4.3e-09,1.2e-06,"smoking","F001"
"cg03710029",0.0054,9e-04,4.3e-09,1.2e-06,"smoking","F001"
"cg17861836",-0.0141,0.0024,4.3e-09,1.3e-06,"smoking","F001"
"cg22283754",-0.0033,6e-04,4.3e-09,1.3e-06,"smoking","F001"
"cg16320419",-0.0078,0.0013,4.4e-09,1.3e-06,"smoking","F001"
"cg08817867",0.0049,8e-04,4.4e-09,1.3e-06,"smoking","F001"
"cg25947283",-0.0042,7e-04,4.4e-09,1.3e-06,"smoking","F001"
"cg03877174",0.0104,0.0018,4.5e-09,1.3e-06,"smoking","F001"
"cg11375458",-0.0056,0.001,4.5e-09,1.3e-06,"smoking","F001"
"cg22797644",-0.0079,0.0013,4.5e-09,1.3e-06,"smoking","F001"
"cg16541026",-0.0117,0.002,4.6e-09,1.3e-06,"smoking","F001"
"cg25347941",0.0076,0.0013,4.6e-09,1.3e-06,"smoking","F001"
"cg27405731",0.0153,0.0026,4.6e-09,1.3e-06,"smoking","F001"
"cg08409562",0.0071,0.0012,4.6e-09,1.3e-06,"smoking","F001"
"cg10676309",0.0051,9e-04,4.6e-09,1.3e-06,"smoking","F001"
"cg22103219",-0.0165,0.0028,4.7e-09,1.3e-06,"smoking","F001"
"cg17588293",0.0025,4e-04,4.7e-09,1.3e-06,"smoking","F001"
"cg05394800",-0.006,0.001,4.7e-09,1.3e-06,"smoking","F001"
"cg13751330",-0.0038,6e-04,4.8e-09,1.4e-06,"smoking","F001"
"cg23169111",0.0088,0.0015,4.8e-09,1.4e-06,"smoking","F001"
"cg06418475",-0.0128,0.0022,4.9e-09,1.4e-06,"smoking","F001"
"cg16988810",-0.0094,0.0016,4.9e-09,1.4e-06,"smoking","F001"
"cg08097581",-0.0062,0.0011,4.9e-09,1.4e-06,"smoking","F001"
"cg16254309",-0.01,0.0017,4.9e-09,1.4e-06,"smoking","F001"
"cg12177944",-0.0066,0.0011,4.9e-09,1.4e-06,"smoking","F001"
"cg18014547",-0.0077,0.0013,4.9e-09,1.4e-06,"smoking","F001"
"cg12535090",0.0046,8e-04,5e-09,1.4e-06,"smoking","F001"
"cg22870429",-0.0149,0.0025,5e-09,1.4e-06,"smoking","F001"
"cg20871826",-0.0059,0.001,5e-09,1.4e-06,"smoking","F001"
"cg14074174",-0.0108,0.0018,5.1e-09,1.4e-06,"smoking","F001"
"cg11212234",-0.0095,0.0016,5.1e-09,1.4e-06,"smoking","F001"
"cg07352544",0.0043,7e-04,5.2e-09,1.5e-06,"smoking","F001"
"cg03389164",-0.0057,0.001,5.2e-09,1.5e-06,"smoking","F001"
"cg17333042",-0.0095,0.0016,5.2e-09,1.5e-06,"smoking","F001"
"cg12212103",-0.0048,8e-04,5.2e-09,1.5e-06,"smoking","F001"
"cg00489660",-0.0085,0.0015,5.2e-09,1.5e-06,"smoking","F001"
"cg23688411",-0.0043,7e-04,5.3e-09,1.5e-06,"smoking","F001"
"cg11231349",-0.0207,0.0035,5.3e-09,1.5e-06,"smoking","F001"
"cg11902728",0.0132,0.0023,5.3e-09,1.5e-06,"smoking","F001"
"cg01305745",0.0098,0.0017,5.3e-09,1.5e-06,"smoking","F001"
"cg23598378",0.0074,0.0013,5.4e-09,1.5e-06,"smoking","F001"
"cg16735495",0.0056,0.001,5.4e-09,1.5e-06,"smoking","F001"
"cg02376827",0.0088,0.0015,5.4e-09,1.5e-06,"smoking","F001"
"cg03341377",0.0058,0.001,5.4e-09,1.5e-06,"smoking","F001"
"cg04276005",0.0049,8e-04,5.4e-09,1.5e-06,"smoking","F001"
"cg10510742",-0.0058,0.001,5.4e-09,1.5e-06,"smoking","F001"
"cg07723659",0.0062,0.0011,5.5e-09,1.5e-06,"smoking","F001"
"cg18896032",-0.0065,0.0011,5.5e-09,1.5e-06,"smoking","F001"
"cg19566658",-0.0123,0.0021,5.5e-09,1.5e-06,"smoking","F001"
"cg26937798",-0.0037,6e-04,5.5e-09,1.5e-06,"smoking","F001"
"cg20819617",0.004,7e-04,5.5e-09,1.5e-06,"smoking","F001"
"cg17724147",0.0088,0.0015,5.6e-09,1.5e-06,"smoking","F001"
"cg27467282",0.0092,0.0016,5.6e-09,1.6e-06,"smoking","F001"
"cg13691192",-0.0049,8e-04,5.6e-09,1.6e-06,"smoking","F001"
"cg04424621",-0.0093,0.0016,5.7e-09,1.6e-06,"smoking","F001"
"cg11452501",-0.0111,0.0019,5.8e-09,1.6e-06,"smoking","F001"
"cg07572052",-0.0069,0.0012,5.8e-09,1.6e-06,"smoking","F001"
"cg02634816",-0.0078,0.0013,5.8e-09,1.6e-06,"smoking","F001"
"cg20698421",-0.0236,0.0041,5.8e-09,1.6e-06,"smoking","F001"
"cg20136951",-0.0058,0.001,5.8e-09,1.6e-06,"smoking","F001"
"cg04383058",-0.0107,0.0018,5.8e-09,1.6e-06,"smoking","F001"
"cg27185793",0.0042,7e-04,5.9e-09,1.6e-06,"smoking","F001"
"cg22004069",0.0053,9e-04,5.9e-09,1.6e-06,"smoking","F001"
"cg20697394",0.0063,0.0011,5.9e-09,1.6e-06,"smoking","F001"
"cg05272827",-0.0064,0.0011,5.9e-09,1.6e-06,"smoking","F001"
"cg24163242",0.008,0.0014,5.9e-09,1.6e-06,"smoking","F001"
"cg27182159",-0.0109,0.0019,6e-09,1.6e-06,"smoking","F001"
"cg17485141",0.0038,6e-04,6e-09,1.6e-06,"smoking","F001"
"cg00917251",-0.0064,0.0011,6e-09,1.6e-06,"smoking","F001"
"cg25684105",-0.0067,0.0012,6.1e-09,1.7e-06,"smoking","F001"
"cg07250758",0.0107,0.0018,6.1e-09,1.7e-06,"smoking","F001"
"cg06296597",0.0073,0.0013,6.1e-09,1.7e-06,"smoking","F001"
"cg10025514",-0.003,5e-04,6.1e-09,1.7e-06,"smoking","F001"
"cg15677293",-0.0088,0.0015,6.2e-09,1.7e-06,"smoking","F001"
"cg01005506",-0.0149,0.0026,6.2e-09,1.7e-06,"smoking","F001"
"cg12275060",-0.014,0.0024,6.3e-09,1.7e-06,"smoking","F001"
"cg03519879",-0.012,0.0021,6.3e-09,1.7e-06,"smoking","F001"
"cg05542681",0.0132,0.0023,6.3e-09,1.7e-06,"smoking","F001"
"cg19137417",-0.0123,0.0021,6.4e-09,1.7e-06,"smoking","F001"
"cg02149899",-0.0073,0.0013,6.4e-09,1.7e-06,"smoking","F001"
"cg13745346",-0.0064,0.0011,6.4e-09,1.7e-06,"smoking","F001"
"cg03774988",0.0043,7e-04,6.4e-09,1.8e-06,"smoking","F001"
"cg15736127",0.0059,0.001,6.5e-09,1.8e-06,"smoking","F001"
"cg04716530",-0.0103,0.0018,6.5e-09,1.8e-06,"smoking","F001"
"cg09837977",-0.0142,0.0025,6.8e-09,1.8e-06,"smoking","F001"
"cg00711496",-0.0216,0.0037,6.8e-09,1.8e-06,"smoking","F001"
"cg15951188",-0.0094,0.0016,6.9e-09,1.9e-06,"smoking","F001"
"cg05194346",0.023,0.004,7e-09,1.9e-06,"smoking","F001"
"cg20873136",0.0054,9e-04,7e-09,1.9e-06,"smoking","F001"
"cg10428536",0.0072,0.0012,7e-09,1.9e-06,"smoking","F001"
"cg17518710",0.0101,0.0017,7e-09,1.9e-06,"smoking","F001"
"cg02224369",0.0051,9e-04,7e-09,1.9e-06,"smoking","F001"
"cg26716839",0.003,5e-04,7e-09,1.9e-06,"smoking","F001"
"cg07312601",-0.0072,0.0012,7.1e-09,1.9e-06,"smoking","F001"
"cg10399789",-0.0193,0.0033,7.1e-09,1.9e-06,"smoking","F001"
"cg09676669",0.0047,8e-04,7.2e-09,1.9e-06,"smoking","F001"
"cg24842354",-0.0052,9e-04,7.2e-09,1.9e-06,"smoking","F001"
"cg04881228",-0.0082,0.0014,7.3e-09,2e-06,"smoking","F001"
"cg04011474",-0.0108,0.0019,7.3e-09,2e-06,"smoking","F001"
"cg16589830",0.0095,0.0016,7.4e-09,2e-06,"smoking","F001"
"cg22417398",-0.0041,7e-04,7.4e-09,2e-06,"smoking","F001"
"cg15533023",0.0034,6e-04,7.4e-09,2e-06,"smoking","F001"
"cg10428938",0.0141,0.0024,7.4e-09,2e-06,"smoking","F001"
"cg15270892",0.0057,0.001,7.5e-09,2e-06,"smoking","F001"
"cg05830220",0.0094,0.0016,7.6e-09,2e-06,"smoking","F001"
"cg00806481",-0.0116,0.002,7.6e-09,2e-06,"smoking","F001"
"cg19859698",0.0076,0.0013,7.6e-09,2e-06,"smoking","F001"
